플랫폼명,게시글_ID,가격,URL,모델명,제목,용량,시도,시군구,동읍면,색상,작성일
당근마켓,fvno94vctcxm,1000000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-%ED%94%84%EB%A1%9C-%EC%B5%9C%EC%83%81%EA%B8%89-256gb-%EB%B0%B0%ED%84%B0%EB%A6%AC-98-fvno94vctcxm/?in=%EC%B2%9C%ED%98%B8%EB%8F%99-6044,아이폰 16 프로,아이폰 16 프로 최상급 256GB 배터리 98%,256.0,서울특별시,강동구,천호동,,2025-10-29
당근마켓,fsta1hwiyz6p,1180000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-1%ED%85%8C%EB%9D%BC-fsta1hwiyz6p/?in=%ED%95%9C%EB%82%A8%EB%8F%99-50,아이폰 16 프로,아이폰 16 Pro 화이트 티타늄 1테라,1024.0,서울특별시,용산구,한남동,화이트티타늄,2025-10-29
당근마켓,gwm4pd8p3rnw,950000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%EB%B8%94%EB%9E%99-128%EA%B8%B0%EA%B0%80-gwm4pd8p3rnw/?in=%ED%95%A9%EC%A0%95%EB%8F%99-231,아이폰 16 프로,아이폰 16 Pro 블랙 128기가,128.0,서울특별시,마포구,합정동,블랙티타늄,2025-10-29
당근마켓,dmiej4chk1fa,1450000.0,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EA%B0%9C%EB%B4%89-%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-256gb-dmiej4chk1fa/?in=%EC%84%9C%EA%B5%90%EB%8F%99-230,아이폰 16 프로,[미개봉] 아이폰 16프로 화이트 티타늄 256GB,256.0,서울특별시,마포구,서교동,화이트티타늄,2025-10-29
당근마켓,nfop76u7hgb4,1100000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016%ED%94%84%EB%A1%9C-%ED%99%94%EC%9D%B4%ED%8A%B8-256-%ED%8C%9D%EB%8B%88%EB%8B%A4-%EC%8B%A4%EC%82%AC%EC%9A%A93%EA%B0%9C%EC%9B%94-%EC%83%81%ED%83%9Ca%EA%B8%89-nfop76u7hgb4/?in=%EC%98%81%EB%93%B1%ED%8F%AC%EB%8F%99-307,아이폰 16 프로,"아이폰16프로 화이트 256 팝니다 (실사용3개월, 상태A급)",256.0,서울특별시,영등포구,영등포동,화이트티타늄,2025-10-29
당근마켓,hfnc3xsyr1pv,1150000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-%ED%94%84%EB%A1%9C-256gb-%EB%8D%B0%EC%A0%80%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84%EF%BD%9Ca-%EA%B8%89%EF%BD%9Capplecare-2026-10%EA%B9%8C%EC%A7%80%EF%BD%9C%EB%B0%B0%ED%84%B0%EB%A6%AC-92-hfnc3xsyr1pv/?in=%EB%8B%B9%EC%82%B0%EB%8F%99-6193,아이폰 16 프로,아이폰 16 프로 256GB 데저트 티타늄｜A+급｜AppleCare+ 2026.10까지｜배터리 92%,256.0,서울특별시,영등포구,당산동,데저트티타늄,2025-10-29
당근마켓,ou5hjfez9tan,980000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-256gb-%ED%99%94%EC%9D%B4%ED%8A%B8%EC%83%89%EC%83%81-ou5hjfez9tan/?in=%EC%8B%A0%EB%A6%BC%EB%8F%99-355,아이폰 16 프로,아이폰 16 Pro 256GB 화이트색상,256.0,서울특별시,관악구,신림동,화이트티타늄,2025-10-29
당근마켓,de895g8xs58b,950000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-%ED%94%84%EB%A1%9C-128%EA%B8%B0%EA%B0%80-%EB%8D%B0%EC%A0%80%ED%8A%B8-%EC%83%81%ED%83%9C-s%EA%B8%89-24%EB%85%8410%EC%9B%94-%ED%8C%94%EC%95%84%EC%9A%94-%EB%AC%B4%EA%B8%B0%EC%8A%A4-%ED%8C%94%EC%95%84%EC%9A%94-de895g8xs58b/?in=%EC%8B%A0%EB%A6%BC%EB%8F%99-355,아이폰 16 프로,아이폰 16 프로 128기가 데저트 상태 S급 24년10월 팔아요 무기스 팔아요,128.0,서울특별시,관악구,신림동,데저트티타늄,2025-10-29
당근마켓,ypfbezr341bf,1100000.0,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016%ED%94%84%EB%A1%9C-%ED%99%94%EC%9D%B4%ED%8A%B8-256-%ED%8C%9D%EB%8B%88%EB%8B%A4-%EC%8B%A4%EC%82%AC%EC%9A%A93%EA%B0%9C%EC%9B%94-%EC%83%81%ED%83%9Ca%EA%B8%89-ypfbezr341bf/?in=%EB%B4%89%EC%B2%9C%EB%8F%99-6058,아이폰 16 프로,"아이폰16프로 화이트 256 팝니다 (실사용3개월, 상태A급)",256.0,서울특별시,관악구,봉천동,화이트티타늄,2025-10-29
당근마켓,5g81ahcpcwh9,1450000.0,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EA%B0%9C%EB%B4%89-%EC%83%88%EC%A0%9C%ED%92%88-%EC%95%84%EC%9D%B4%ED%8F%B0-16-pro-%EB%8D%B0%EC%A0%B8%ED%8A%B8-%ED%8B%B0%ED%83%80%EB%8A%84-256gb-5g81ahcpcwh9/?in=%EA%B0%80%EC%82%B0%EB%8F%99-295,아이폰 16 프로,(미개봉 새제품)아이폰 16 Pro 데져트 티타늄 256gb,256.0,서울특별시,금천구,가산동,데저트티타늄,2025-10-29
